profile,workload,variant,repetition,seed,initial_records,operations,elapsed_nanos,throughput_ops_s,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,max_latency_ns,search_p95_ns,insert_p95_ns,delete_p95_ns,update_p95_ns,range_p95_ns,final_records,leaf_count,avg_occupancy,peak_heap_bytes,process_cpu_nanos,current_thread_cpu_nanos,current_thread_allocated_bytes,gc_collections,gc_time_millis,jit_compilation_millis,controller_nanos,controller_time_share_pct,maintenance_count,maintenance_nanos,records_moved,leaves_touched,full_rebuilds,commit_count,rollback_count,abstain_count,no_trial_commits,failed_trials_kept,structural_attempts,expected_diagnosis_matches,expected_diagnosis_mismatches,observation_windows,reference_ready_windows,degraded_windows,persistent_triggers,diagnosis_attempts,confident_diagnoses,candidate_selections,trial_starts
YCSB_VALIDATION,YCSB_B,LARS_FULL,7,16807,1000000,300000,126896300,2364135.124507176,266.2703333333333,200.0,400.0,600.0,3052400,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,166756368,421875000,140625000,47271208,0,0,421,3788200,2.9852722262193616,0,0,0,0,0,0,0,2,0,0,0,0,0,69,22,7,2,2,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,8,2147483647,1000000,300000,135087100,2220789.4018007643,281.0323333333333,200.0,400.0,600.0,3638800,400.0,NaN,NaN,500.0,NaN,1000000,20834,0.7499760007679754,168820736,515625000,140625000,48596048,0,0,515,4645200,3.438670309748303,0,0,0,0,0,0,0,3,0,0,0,0,0,70,21,5,3,3,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,9,6364136223846793005,1000000,300000,118398700,2533811.6043503857,252.43633333333332,200.0,400.0,600.0,237900,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,163577856,500000000,140625000,45928616,0,0,379,668700,0.5647866066097009,0,0,0,0,0,0,0,0,0,0,0,0,0,68,21,1,0,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,0,1103515245,1000000,300000,117566400,2551749.4794431063,250.14033333333333,200.0,400.0,600.0,168800,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,164888608,453125000,140625000,46563248,0,0,434,587900,0.5000578396548674,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,3,1,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,1,214013,1000000,300000,108872100,2755526.8980758158,228.53966666666668,200.0,400.0,500.0,216600,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165034176,390625000,125000000,46455728,0,0,327,539100,0.49516818358422404,0,0,0,0,0,0,0,0,0,0,0,0,0,67,21,2,0,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,2,1664525,1000000,300000,123644100,2426318.764906696,264.842,200.0,400.0,600.0,248100,400.0,NaN,NaN,500.0,NaN,1000000,20834,0.7499760007679754,165806096,359375000,125000000,46481408,0,0,383,846300,0.684464523580179,0,0,0,0,0,0,0,0,0,0,0,0,0,68,21,3,1,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,3,22695477,1000000,300000,116051000,2585070.3569982164,243.985,200.0,400.0,500.0,144600,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,164837536,468750000,125000000,46400592,0,0,396,703000,0.605768153656582,0,0,0,0,0,0,0,0,0,0,0,0,0,64,21,6,1,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,4,69069,1000000,300000,126346900,2374415.2013227073,265.64933333333335,200.0,400.0,600.0,147100,400.0,NaN,NaN,500.0,NaN,1000000,20834,0.7499760007679754,165179728,562500000,140625000,46690248,0,0,496,743200,0.588221792541012,0,0,0,0,0,0,0,0,0,0,0,0,0,66,20,7,2,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,5,48271,1000000,300000,135000000,2222222.222222222,290.0493333333333,300.0,500.0,900.0,190500,500.0,NaN,NaN,600.0,NaN,1000000,20834,0.7499760007679754,165245280,531250000,125000000,46834976,0,0,487,883700,0.6545925925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22,3,1,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,6,134775813,1000000,300000,115834300,2589906.4439462232,246.67433333333332,200.0,400.0,500.0,437100,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165675008,453125000,125000000,46471008,0,0,395,979900,0.8459497748076347,0,0,0,0,0,0,0,0,0,0,0,0,0,64,21,2,0,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,7,16807,1000000,300000,116097700,2584030.519123118,248.83533333333332,200.0,400.0,500.0,125000,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165099728,375000000,125000000,46300272,0,0,357,552000,0.4754616155186537,0,0,0,0,0,0,0,0,0,0,0,0,0,69,22,9,6,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_MONITOR_ONLY,8,2147483647,1000000,300000,119529600,2509838.5671833586,250.857,200.0,400.0,600.0,282300,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165886112,468750000,125000000,46423912,0,0,412,850300,0.7113719112253366,0,0,0,0,0,0,0,0,0,0,0,0,0,70,21,6,2,0,0,0,0
