profile,workload,variant,repetition,seed,initial_records,operations,elapsed_nanos,throughput_ops_s,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,max_latency_ns,search_p95_ns,insert_p95_ns,delete_p95_ns,update_p95_ns,range_p95_ns,final_records,leaf_count,avg_occupancy,peak_heap_bytes,process_cpu_nanos,current_thread_cpu_nanos,current_thread_allocated_bytes,gc_collections,gc_time_millis,jit_compilation_millis,controller_nanos,controller_time_share_pct,maintenance_count,maintenance_nanos,records_moved,leaves_touched,full_rebuilds,commit_count,rollback_count,abstain_count,no_trial_commits,failed_trials_kept,structural_attempts,expected_diagnosis_matches,expected_diagnosis_mismatches,observation_windows,reference_ready_windows,degraded_windows,persistent_triggers,diagnosis_attempts,confident_diagnoses,candidate_selections,trial_starts
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,4,69069,1000000,300000,217384900,1380040.6559977257,567.7856666666667,500.0,1400.0,2300.0,362700,400.0,1600.0,1500.0,400.0,3400.0,1116551,23388,0.7459427644518557,243269632,625000000,218750000,91775552,0,0,433,1943600,0.8940823396657266,0,0,0,0,0,0,0,0,0,0,0,0,0,221,134,74,35,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,5,48271,1000000,300000,221057200,1357114.8101034483,580.959,500.0,1500.0,2600.0,329500,400.0,1700.0,1600.0,400.0,3500.0,1116139,23366,0.7463695915004708,242221056,500000000,218750000,91554960,0,0,469,1855000,0.8391493242472989,0,0,0,0,0,0,0,0,0,0,0,0,0,221,128,75,36,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,6,134775813,1000000,300000,204301100,1468420.8748753679,541.1406666666667,500.0,1400.0,2300.0,443200,400.0,1500.0,1500.0,400.0,3300.0,1116029,23364,0.7463599180362952,242221056,687500000,218750000,92480712,0,0,493,2034400,0.9957851426154828,0,0,0,0,0,0,0,0,0,0,0,0,0,222,130,66,30,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,7,16807,1000000,300000,212988300,1408528.0740773084,568.2386666666666,500.0,1500.0,2500.0,308300,400.0,1700.0,1600.0,400.0,3400.0,1116229,23370,0.7463020164741121,241172480,484375000,218750000,91205272,0,0,376,1741000,0.8174157923228647,0,0,0,0,0,0,0,0,0,0,0,0,0,220,131,77,31,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,8,2147483647,1000000,300000,206977300,1449434.3099460665,537.4233333333333,500.0,1400.0,2100.0,231000,400.0,1500.0,1500.0,400.0,3300.0,1115520,23359,0.7461792028768355,242221056,437500000,203125000,91359488,0,0,386,1794300,0.8669066607787425,0,0,0,0,0,0,0,0,0,0,0,0,0,221,133,71,26,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,9,6364136223846793005,1000000,300000,238251000,1259176.2468992786,622.514,500.0,1600.0,2400.0,246000,400.0,1700.0,1700.0,400.0,3600.0,1116488,23364,0.746666880671118,243269632,578125000,250000000,92219288,0,0,399,2517100,1.056490843690058,0,0,0,0,0,0,0,0,0,0,0,0,0,223,133,69,32,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,0,1103515245,1000000,300000,337978500,887630.4261957491,887.4756666666667,600.0,1900.0,3800.0,16186100,500.0,2200.0,2100.0,600.0,4200.0,1116659,23344,0.7474210450222756,249561088,1203125000,328125000,98486656,0,0,1213,44160200,13.065979048963174,5,1317400,331,16,0,3,2,9,0,0,5,0,0,218,124,56,20,0,0,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,1,214013,1000000,300000,305551200,981832.1773895832,798.1836666666667,600.0,1700.0,2800.0,19214000,400.0,1900.0,1800.0,500.0,4100.0,1115764,23355,0.7464702419182188,252706816,1046875000,265625000,100869864,0,0,1059,42358200,13.86288124543448,6,1031300,358,19,0,4,2,5,0,0,6,0,0,219,124,67,29,0,0,6,6
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,2,1664525,1000000,300000,292510000,1025605.9621893269,729.116,500.0,1800.0,3500.0,949600,500.0,2000.0,2000.0,500.0,3900.0,1116289,23363,0.7465657503317211,249561088,796875000,296875000,97785512,0,0,789,30752600,10.513349970941164,5,171000,310,16,0,4,1,10,0,0,5,0,0,223,127,71,33,0,0,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_NO_DIAGNOSIS,3,22695477,1000000,300000,374903400,800206.1330998866,990.3316666666667,600.0,2100.0,4500.0,22091600,500.0,2400.0,2400.0,600.0,4400.0,1116254,23371,0.7462867977407899,247463936,1265625000,375000000,96072768,0,0,1250,50550700,13.483660057497477,5,1660400,306,17,0,3,2,6,0,0,5,0,0,213,124,59,26,0,0,5,5
