workload,comparator,metric,paired_n,improvement_pct,ci_low,ci_high,p_raw,family,p_holm
WORKLOAD_SHIFT,LOCAL_COST_ADAPTIVE,throughput_ops_s,10,-7.184503000623981,-11.761037645513309,1.510672553324816,0.10546875,baseline,0.10546875
WORKLOAD_SHIFT,LOCAL_COST_ADAPTIVE,p99_latency_ns,10,1.4008620689655173,-11.397849462365592,16.3768115942029,0.548828125,baseline,0.548828125
WORKLOAD_SHIFT,LARS_NO_DIAGNOSIS,throughput_ops_s,10,-1.0260630031731461,-6.865067850433567,1.1137093437697076,0.193359375,ablation,0.580078125
WORKLOAD_SHIFT,LARS_NO_DIAGNOSIS,p99_latency_ns,10,1.4285714285714286,-5.172413793103448,3.225806451612903,1.0,ablation,1.0
WORKLOAD_SHIFT,LARS_NO_LOCALITY,throughput_ops_s,10,-4.246398148466558,-10.060856924836253,3.8224515672358232,0.275390625,ablation,0.580078125
WORKLOAD_SHIFT,LARS_NO_LOCALITY,p99_latency_ns,10,1.5625,-10.344827586206897,6.562847608453838,1.0,ablation,1.0
WORKLOAD_SHIFT,LARS_NO_RUNTIME_VALIDATION,throughput_ops_s,10,-10.203648937533583,-13.634415722620634,-7.727849124438261,0.001953125,ablation,0.0078125
WORKLOAD_SHIFT,LARS_NO_RUNTIME_VALIDATION,p99_latency_ns,10,-8.116883116883118,-15.886699507389162,1.7241379310344827,0.046875,ablation,0.1875
WORKLOAD_SHIFT,LARS_NO_ROLLBACK,throughput_ops_s,10,-1.4974122883355656,-7.9276920853214685,2.384852476132003,0.193359375,ablation,0.580078125
WORKLOAD_SHIFT,LARS_NO_ROLLBACK,p99_latency_ns,10,-0.05040322580645151,-7.963709677419355,9.67741935483871,0.91796875,ablation,1.0
WRITE_HEAVY,STATIC_BPLUS,throughput_ops_s,10,-4.238566463549771,-20.626190958074442,-1.109528786767393,0.037109375,baseline,0.07421875
WRITE_HEAVY,STATIC_BPLUS,p99_latency_ns,10,-13.80952380952381,-42.30769230769231,11.363636363636363,0.4375,baseline,1.0
WRITE_HEAVY,PERIODIC_GLOBAL_REBUILD,throughput_ops_s,10,182.34325385915662,140.54852845870187,204.24753865651633,0.001953125,baseline,0.0078125
WRITE_HEAVY,PERIODIC_GLOBAL_REBUILD,p99_latency_ns,10,3.1746031746031744,-16.666666666666668,13.025210084033613,0.89453125,baseline,1.0
WRITE_HEAVY,THRESHOLD_GLOBAL_REBUILD,throughput_ops_s,10,-7.4544386230271105,-12.814469710809515,-4.456800806596952,0.001953125,baseline,0.0078125
WRITE_HEAVY,THRESHOLD_GLOBAL_REBUILD,p99_latency_ns,10,-2.0833333333333335,-15.789473684210526,5.555555555555555,0.296875,baseline,1.0
WRITE_HEAVY,LOCAL_COST_ADAPTIVE,throughput_ops_s,10,-2.2151158588576845,-7.740256910139698,2.626212915366537,0.431640625,baseline,0.431640625
WRITE_HEAVY,LOCAL_COST_ADAPTIVE,p99_latency_ns,10,2.272727272727273,-15.625,20.33248081841432,0.8515625,baseline,1.0
WRITE_HEAVY,LARS_NO_DIAGNOSIS,throughput_ops_s,10,2.2788375465293633,-5.940342337509232,5.5144699852436725,0.76953125,ablation,1.0
WRITE_HEAVY,LARS_NO_DIAGNOSIS,p99_latency_ns,10,-3.125,-23.529411764705884,20.941176470588236,1.0,ablation,1.0
WRITE_HEAVY,LARS_NO_LOCALITY,throughput_ops_s,10,4.864176636158682,-8.037853547912553,16.347121186227362,0.4921875,ablation,1.0
WRITE_HEAVY,LARS_NO_LOCALITY,p99_latency_ns,10,16.919191919191917,-14.705882352941176,36.98979591836735,0.16015625,ablation,0.640625
WRITE_HEAVY,LARS_NO_RUNTIME_VALIDATION,throughput_ops_s,10,0.4537451824980965,-6.149846526755239,9.334062822416895,0.921875,ablation,1.0
WRITE_HEAVY,LARS_NO_RUNTIME_VALIDATION,p99_latency_ns,10,9.586056644880175,-17.647058823529413,20.465686274509807,0.35546875,ablation,1.0
WRITE_HEAVY,LARS_NO_ROLLBACK,throughput_ops_s,10,-2.4996780955765026,-6.915392782885607,9.89231189763129,1.0,ablation,1.0
WRITE_HEAVY,LARS_NO_ROLLBACK,p99_latency_ns,10,1.9230769230769231,-18.75,23.80952380952381,0.6640625,ablation,1.0
